host,tag,run,f1_topk_2,f1_topk_4,f1_topk_8,f1_topk_15,f1_topk_30,f1_q_0.5,f1_q_0.7,f1_q_0.8,f1_q_0.9,f1_tau_1,f1_tau_10
cadets,fullz,0,0.000183,0.000183,0.999451,0.999451,0.999314,0.999451,0.999451,0.000183,0.000183,0.999314,0.000183
cadets,fullz,1,0.000183,0.002911,0.99758,0.996715,0.996443,0.996852,0.99758,0.002911,0.000183,0.996715,0.99758
cadets,fullz,2,0.000183,0.004566,0.99936,0.999131,0.999131,0.99936,0.004566,0.004566,0.000183,0.999131,0.004566
cadets,TGN_fullz,0,0.000183,1.0,0.999771,0.998492,0.998492,0.999405,1.0,1.0,0.000183,0.998492,1.0
cadets,TGN_fullz,1,0.0,0.999954,0.999954,0.999954,0.999817,0.999954,0.999954,0.999954,0.0,0.999817,0.999954
cadets,TGN_fullz,2,0.999954,0.999908,0.999908,0.999908,0.999771,0.999908,0.999908,0.999908,0.999954,0.999771,0.999908
theia,fullz,0,0.999884,0.999884,0.988196,0.988128,0.988128,0.999884,0.999884,0.999884,0.999884,0.988128,0.988196
theia,fullz,1,0.999884,0.999884,0.989947,0.989947,0.989947,0.999884,0.999884,0.999884,0.999884,0.989947,0.989947
theia,fullz,2,0.999884,0.999884,0.999814,0.999814,0.999814,0.999884,0.999884,0.999884,0.999884,0.999814,0.999884
theia,TGN_fullz,0,0.999861,0.999861,0.996042,0.996019,0.996019,0.999861,0.999861,0.999861,0.999861,0.996042,0.996042
theia,TGN_fullz,1,0.999884,0.999884,0.999861,0.999861,0.999861,0.999884,0.999884,0.999884,0.999884,0.999884,0.999884
theia,TGN_fullz,2,0.999884,0.999884,0.990767,0.990699,0.990699,0.999884,0.999884,0.999884,0.999884,0.990699,0.990767
trace,fullz,0,0.999974,1.0,0.999887,0.999695,0.999529,0.999887,0.999904,1.0,0.999974,0.999529,0.999904
trace,fullz,1,0.999965,0.999965,0.999869,0.999529,0.999337,0.99986,0.999965,0.999965,0.999965,0.999389,0.999965
trace,fullz,2,0.999974,1.0,0.999904,0.999817,0.999677,0.999904,0.999904,1.0,0.999974,0.999703,1.0
trace,TGN_fullz,0,1.0,0.999904,0.999852,0.99945,0.99945,0.999852,0.999904,0.999904,1.0,0.999555,1.0
trace,TGN_fullz,1,0.999965,0.999869,0.999817,0.999433,0.999433,0.999843,0.999869,0.999869,0.999965,0.999782,0.999965
trace,TGN_fullz,2,0.999974,0.999974,0.999974,1.0,0.999503,1.0,0.999974,0.999974,0.999974,0.999503,1.0
SysClient0051,fullz,0,0.214286,0.214286,0.145349,0.578723,0.421538,0.446982,0.210243,0.140056,0.134503,0.425532,0.446982
SysClient0051,fullz,1,0.054945,0.836013,0.84345,0.749296,0.633333,0.749296,0.803625,0.84345,0.804054,0.628842,0.687339
SysClient0051,fullz,2,0.076503,0.174757,0.265306,0.363165,0.354271,0.355781,0.583333,0.265306,0.174757,0.353383,0.35533
SysClient0051,TGN_fullz,0,0.057143,0.265306,0.308458,0.835821,0.835821,0.308458,0.265306,0.265306,0.057143,0.835821,0.880503
SysClient0051,TGN_fullz,1,0.834437,0.852564,0.774566,0.694301,0.67,0.722372,0.774566,0.832298,0.858065,0.67,0.722372
SysClient0051,TGN_fullz,2,0.043243,0.251208,0.818462,0.798799,0.766571,0.803625,0.238532,0.238532,0.22549,0.766571,0.818462
SysClient0201,fullz,0,0.938053,0.938053,0.93913,0.93913,0.948276,0.93913,0.938053,0.938053,0.938053,0.93913,0.93913
