host,variant,picked_on_run0,val_mean,default_mean,oracle_mean
cadets,STATIC,f1_topk_8,0.9985,0.5011,0.9985
cadets,FUSED,f1_topk_4,0.9999,0.9999,1.0
theia,STATIC,f1_topk_2,0.9999,0.9949,0.9999
theia,FUSED,f1_topk_2,0.9999,0.9953,0.9999
trace,STATIC,f1_topk_4,1.0,1.0,1.0
trace,FUSED,f1_topk_2,1.0,1.0,1.0
SysClient0051,STATIC,f1_topk_15,0.5562,0.5213,0.7134
SysClient0051,FUSED,f1_tau_10,0.7704,0.7704,0.8383
SysClient0201,STATIC,f1_topk_30,0.7678,0.7647,0.9427
SysClient0201,FUSED,f1_topk_8,0.9083,0.9083,0.9381
SysClient0501,STATIC,f1_topk_4,0.9846,1.0,1.0
SysClient0501,FUSED,f1_topk_4,1.0,0.9979,1.0
SimulatedUbuntu,STATIC,f1_topk_15,0.9857,0.9545,0.9857
SimulatedUbuntu,FUSED,f1_topk_2,1.0,1.0,1.0
SimulatedW10,STATIC,f1_topk_2,0.9969,0.9969,0.9969
SimulatedW10,FUSED,f1_tau_10,0.9969,0.9969,0.9969
SimulatedWS12,STATIC,f1_topk_2,0.2904,0.2904,0.5114
SimulatedWS12,FUSED,f1_topk_2,0.1331,0.3482,0.3646
