rule,variant,n,mean,worst,collapse,p10
f1_topk_2,STATIC,27,0.6139,0.0,6,0.0002
f1_topk_2,FUSED,27,0.6872,0.0,6,0.0
f1_topk_4,STATIC,27,0.7081,0.0,4,0.0039
f1_topk_4,FUSED,27,0.8607,0.2512,0,0.3648
f1_topk_8,STATIC,27,0.8473,0.1453,0,0.4402
f1_topk_8,FUSED,27,0.8757,0.2594,0,0.465
f1_topk_15,STATIC,27,0.8634,0.3632,0,0.4932
f1_topk_15,FUSED,27,0.8903,0.2594,0,0.6063
f1_topk_30,STATIC,27,0.8519,0.3543,0,0.4427
f1_topk_30,FUSED,27,0.8878,0.2594,0,0.5917
f1_q_0.5,STATIC,27,0.8684,0.3558,0,0.5101
f1_q_0.5,FUSED,27,0.8803,0.2724,0,0.4834
f1_q_0.7,STATIC,27,0.8006,0.0,2,0.3492
f1_q_0.7,FUSED,27,0.8595,0.2385,0,0.3646
f1_q_0.8,STATIC,27,0.7146,0.0,4,0.0039
f1_q_0.8,FUSED,27,0.8606,0.2385,0,0.3805
f1_q_0.9,STATIC,27,0.649,0.0,7,0.0001
f1_q_0.9,FUSED,27,0.7383,0.0,4,0.0001
f1_tau_1,STATIC,27,0.8515,0.3534,0,0.4443
f1_tau_1,FUSED,27,0.8879,0.2594,0,0.5917
f1_tau_10,STATIC,27,0.7516,0.0,4,0.0114
f1_tau_10,FUSED,27,0.9014,0.2662,0,0.6577
