level,metric,value
subgraph,level,subgraph
subgraph,n_pairs,27
subgraph,n_hosts,9
subgraph,wins,15
subgraph,ties,8
subgraph,losses,4
subgraph,mean_static,0.7515851851851851
subgraph,mean_fused,0.9014481481481481
subgraph,mean_delta,0.14986296296296295
subgraph,ci95_run,"[0.051643, 0.2681]"
subgraph,ci95_cluster,"[0.032441, 0.302405]"
subgraph,wilcoxon_two_p,0.007907736601400244
subgraph,wilcoxon_greater_p,0.003953868300700122
subgraph,wilcoxon_n_eff,19
subgraph,sign_p,0.00960540771484375
subgraph,ttest_p,0.014129324272282804
subgraph,host_wilcoxon_two_p,0.0234375
subgraph,host_wilcoxon_greater_p,0.01171875
subgraph,static_min,0.0
subgraph,fused_min,0.2662
subgraph,static_below_005,4
subgraph,fused_below_005,0
subgraph,cluster,host
node,level,node
node,n_pairs,27
node,n_hosts,9
node,wins,6
node,ties,0
node,losses,21
node,mean_static,0.6803675192377036
node,mean_fused,0.6267612497057747
node,mean_delta,-0.05360626953192899
node,ci95_run,"[-0.126837, 0.005593]"
node,ci95_cluster,"[-0.153753, 0.011707]"
node,wilcoxon_two_p,0.046262577176094055
node,wilcoxon_greater_p,0.97822105884552
node,wilcoxon_n_eff,27
node,sign_p,0.9992431402206421
node,ttest_p,0.1350893223859537
node,host_wilcoxon_two_p,0.734375
node,host_wilcoxon_greater_p,0.673828125
node,static_min,0.1245901639344262
node,fused_min,0.0871710526315789
node,static_below_005,0
node,fused_below_005,0
node,cluster,host
node10,level,node10
node10,n_pairs,90
node10,n_hosts,9
node10,wins,28
node10,ties,1
node10,losses,61
node10,mean_static,0.6773312019353347
node10,mean_fused,0.62789415797616
node10,mean_delta,-0.04943704395917461
node10,ci95_run,"[-0.086084, -0.018294]"
node10,ci95_cluster,"[-0.125406, -0.002046]"
node10,wilcoxon_two_p,0.0005932619202998022
node10,wilcoxon_greater_p,0.9997033690398501
node10,wilcoxon_n_eff,89
node10,sign_p,0.9998672073285063
node10,ttest_p,0.0060489270310270064
node10,host_wilcoxon_two_p,0.09765625
node10,host_wilcoxon_greater_p,0.962890625
node10,static_min,0.1030595813204509
node10,fused_min,0.0284360189573459
node10,static_below_005,0
node10,fused_below_005,2
node10,cluster,host
subgraph,collapse_fisher_p,0.05549389567147612
subgraph,collapse_oddsratio,inf
subgraph,host_mean_delta::SimulatedUbuntu,0.052367
subgraph,host_mean_delta::SimulatedW10,0.0
subgraph,host_mean_delta::SimulatedWS12,0.225367
subgraph,host_mean_delta::SysClient0051,0.3106
subgraph,host_mean_delta::SysClient0201,0.0926
subgraph,host_mean_delta::SysClient0501,-0.000933
subgraph,host_mean_delta::cadets,0.665833
subgraph,host_mean_delta::theia,0.0029
subgraph,host_mean_delta::trace,3.3e-05
node,host_mean_delta::SimulatedUbuntu,-0.030864
node,host_mean_delta::SimulatedW10,0.024458
node,host_mean_delta::SimulatedWS12,-0.122839
node,host_mean_delta::SysClient0051,0.012387
node,host_mean_delta::SysClient0201,0.02678
node,host_mean_delta::SysClient0501,-0.409882
node,host_mean_delta::cadets,0.020764
node,host_mean_delta::theia,0.004835
node,host_mean_delta::trace,-0.008096
