host,variant,run,crit,real_F1,default_F1,chosen,abstained
SimulatedUbuntu,fullz,0,m0.3,0.875,0.875,DEFAULT,1
SimulatedUbuntu,fullz,0,m0.3_proc,0.875,0.875,DEFAULT,1
SimulatedUbuntu,fullz,1,m0.3,0.9091,0.9091,DEFAULT,1
SimulatedUbuntu,fullz,1,m0.3_proc,0.9091,0.9091,DEFAULT,1
SimulatedUbuntu,fullz,2,m0.3,1.0,1.0,DEFAULT,1
SimulatedUbuntu,fullz,2,m0.3_proc,1.0,1.0,DEFAULT,1
SimulatedUbuntu,TGN_fullz,0,m0.3,0.9412,0.9412,DEFAULT,1
SimulatedUbuntu,TGN_fullz,0,m0.3_proc,0.9412,0.9412,DEFAULT,1
SimulatedUbuntu,TGN_fullz,1,m0.3,1.0,1.0,DEFAULT,1
SimulatedUbuntu,TGN_fullz,1,m0.3_proc,1.0,1.0,DEFAULT,1
SimulatedUbuntu,TGN_fullz,2,m0.3,1.0,1.0,DEFAULT,1
SimulatedUbuntu,TGN_fullz,2,m0.3_proc,1.0,1.0,DEFAULT,1
SimulatedW10,fullz,0,m0.3,0.9969,0.9969,DEFAULT,1
SimulatedW10,fullz,0,m0.3_proc,0.9969,0.9969,DEFAULT,1
SimulatedW10,fullz,1,m0.3,0.9969,0.9969,DEFAULT,1
SimulatedW10,fullz,1,m0.3_proc,0.9969,0.9969,DEFAULT,1
SimulatedW10,fullz,2,m0.3,0.9969,0.9969,DEFAULT,1
SimulatedW10,fullz,2,m0.3_proc,0.9969,0.9969,DEFAULT,1
SimulatedW10,TGN_fullz,0,m0.3,0.9969,0.9969,DEFAULT,1
SimulatedW10,TGN_fullz,0,m0.3_proc,0.9969,0.9969,DEFAULT,1
SimulatedW10,TGN_fullz,1,m0.3,0.9969,0.9969,DEFAULT,1
SimulatedW10,TGN_fullz,1,m0.3_proc,0.9969,0.9969,DEFAULT,1
SimulatedW10,TGN_fullz,2,m0.3,0.9969,0.9969,DEFAULT,1
SimulatedW10,TGN_fullz,2,m0.3_proc,0.9969,0.9969,DEFAULT,1
SimulatedWS12,fullz,0,m0.3,0.9136,0.0,mask:PROCESS@2.88998137,0
SimulatedWS12,fullz,0,m0.3_proc,0.9136,0.0,mask:PROCESS@2.88998137,0
SimulatedWS12,fullz,1,m0.3,0.9136,0.016,mask:PROCESS@3.1145215100000003,0
SimulatedWS12,fullz,1,m0.3_proc,0.9136,0.016,mask:PROCESS@3.1145215100000003,0
SimulatedWS12,fullz,2,m0.3,0.0,0.5649,mask:FILE@1.7795108,0
SimulatedWS12,fullz,2,m0.3_proc,0.961,0.5649,mask:PROCESS@3.1145215100000003,0
SimulatedWS12,TGN_fullz,0,m0.3,0.9487,0.5606,mask:PROCESS@10.170133819999998,0
SimulatedWS12,TGN_fullz,0,m0.3_proc,0.9487,0.5606,mask:PROCESS@10.170133819999998,0
SimulatedWS12,TGN_fullz,1,m0.3,0.961,0.2662,mask:PROCESS@10.170133819999998,0
SimulatedWS12,TGN_fullz,1,m0.3_proc,0.961,0.2662,mask:PROCESS@10.170133819999998,0
SimulatedWS12,TGN_fullz,2,m0.3,0.8506,0.4302,mask:PROCESS@2.7257676,0
SimulatedWS12,TGN_fullz,2,m0.3_proc,0.8506,0.4302,mask:PROCESS@2.7257676,0
SysClient0051,fullz,0,m0.3,0.447,0.447,DEFAULT,1
SysClient0051,fullz,0,m0.3_proc,0.447,0.447,DEFAULT,1
SysClient0051,fullz,1,m0.3,0.6873,0.6873,DEFAULT,1
SysClient0051,fullz,1,m0.3_proc,0.6873,0.6873,DEFAULT,1
SysClient0051,fullz,2,m0.3,0.3553,0.3553,DEFAULT,1
SysClient0051,fullz,2,m0.3_proc,0.3553,0.3553,DEFAULT,1
SysClient0051,TGN_fullz,0,m0.3,0.8805,0.8805,DEFAULT,1
SysClient0051,TGN_fullz,0,m0.3_proc,0.8805,0.8805,DEFAULT,1
SysClient0051,TGN_fullz,1,m0.3,0.7224,0.7224,DEFAULT,1
SysClient0051,TGN_fullz,1,m0.3_proc,0.7224,0.7224,DEFAULT,1
SysClient0051,TGN_fullz,2,m0.3,0.8185,0.8185,DEFAULT,1
SysClient0051,TGN_fullz,2,m0.3_proc,0.8185,0.8185,DEFAULT,1
SysClient0201,fullz,0,m0.3,0.9391,0.9391,DEFAULT,1
SysClient0201,fullz,0,m0.3_proc,0.9391,0.9391,DEFAULT,1
SysClient0201,fullz,1,m0.3,0.9381,0.9381,DEFAULT,1
